Airline,Departure_Airport,Arrival_Airport,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Departure_Hour,Departure_Day,Departure_Weekday,Departure_Month
southwest,jfk,den,188,on-time,596,359.22,20,male,low,business,business,0,gold,desk,4.1,8.0,87,0,0,window,12,13,0,5
southwest,sea,sea,228,on-time,1256,361.83,73,male,low,business,business,1,none,mobile app,7.5,3.0,84,0,0,middle,20,12,4,5
jetblue,dfw,ord,85,on-time,1012,222.65,19,female,medium,emergency,premium economy,0,none,online,6.5,11.0,76,0,0,middle,19,19,3,10
jetblue,dfw,den,232,on-time,1196,439.21,18,female,low,family,premium economy,0,none,mobile app,7.9,12.0,8,0,0,window,1,13,5,4
jetblue,dfw,sfo,167,delayed,1240,215.42,64,male,medium,emergency,economy,0,gold,airport kiosk,7.9,4.0,88,0,0,aisle,1,26,4,1
jetblue,atl,jfk,83,on-time,1387,496.54,20,male,medium,leisure,economy,0,platinum,mobile app,4.9,2.0,24,0,0,aisle,0,19,3,9
southwest,atl,lax,248,on-time,1004,388.72,22,male,medium,emergency,premium economy,0,none,mobile app,10.0,4.0,59,0,0,middle,21,16,3,11
delta,ord,den,229,on-time,1278,271.2,29,male,medium,family,economy,1,gold,airport kiosk,4.9,9.0,52,1,1,window,21,24,3,8
american airlines,sfo,sea,87,on-time,902,248.89,54,male,high,business,economy,1,none,mobile app,3.9,3.0,10,0,0,window,7,11,1,2
jetblue,lax,sea,256,cancelled,1328,192.0,60,female,low,leisure,economy,2,gold,online,8.4,16.0,66,0,0,window,0,25,3,5
jetblue,ord,jfk,238,on-time,959,243.87,55,female,medium,leisure,economy,0,none,online,4.5,6.0,92,0,0,middle,21,6,6,8
united,ord,lax,138,on-time,1397,406.52,34,male,medium,leisure,economy,1,none,online,6.7,6.0,94,0,0,aisle,10,26,6,5
delta,atl,lax,117,on-time,1059,333.59,51,male,low,leisure,premium economy,0,gold,online,6.9,14.0,70,0,0,window,21,6,3,2
united,sea,sea,169,on-time,1403,197.8,75,male,medium,business,economy,3,none,airport kiosk,5.9,7.0,24,0,0,window,13,30,4,6
american airlines,sfo,dfw,192,on-time,1096,219.61,54,male,medium,emergency,economy,1,gold,desk,7.7,2.0,64,0,1,aisle,20,13,0,1
american airlines,den,lax,145,on-time,1272,420.26,31,female,high,family,economy,1,none,mobile app,6.6,11.0,114,0,0,middle,21,6,1,6
southwest,ord,atl,100,cancelled,1615,349.5,45,female,medium,leisure,economy,1,none,desk,5.2,7.0,45,0,0,middle,9,11,0,12
jetblue,den,jfk,224,on-time,875,325.89,49,male,medium,business,economy,1,platinum,online,9.1,2.0,63,0,0,window,19,20,2,3
united,sfo,lax,241,delayed,1188,416.78,37,male,high,leisure,economy,1,silver,airport kiosk,5.7,0.0,109,0,0,window,7,19,3,9
american airlines,lax,atl,115,on-time,1622,270.02,76,female,medium,family,premium economy,1,none,online,6.5,14.0,7,0,1,middle,20,6,3,7
american airlines,ord,sfo,146,on-time,1435,403.37,44,male,medium,family,economy,0,none,desk,7.8,0.0,96,0,0,middle,11,9,1,1
delta,lax,dfw,218,on-time,2558,430.53,31,female,high,family,economy,1,silver,airport kiosk,9.1,7.0,90,0,0,middle,2,30,1,1
american airlines,dfw,jfk,262,cancelled,1198,284.82,70,female,low,emergency,economy,0,gold,airport kiosk,5.8,8.0,43,0,0,middle,11,18,4,8
american airlines,dfw,sfo,187,on-time,986,292.8,69,male,high,leisure,economy,1,silver,mobile app,6.5,16.0,34,0,0,middle,12,14,0,8
jetblue,atl,lax,291,on-time,1030,497.05,60,female,medium,leisure,economy,0,silver,mobile app,7.7,3.0,63,0,0,window,8,25,1,6
delta,atl,lax,92,on-time,1231,325.8,44,male,medium,emergency,economy,2,silver,mobile app,4.2,0.0,79,0,0,aisle,9,16,2,10
american airlines,jfk,atl,182,delayed,938,239.45,66,female,low,family,economy,1,none,desk,9.4,13.0,92,0,0,middle,21,15,2,11
delta,lax,den,92,on-time,1458,370.34,21,male,medium,business,economy,2,none,desk,8.5,0.0,107,0,1,middle,6,14,1,11
southwest,dfw,atl,179,on-time,925,398.66,50,female,medium,leisure,economy,1,none,mobile app,6.7,28.0,70,0,0,window,1,18,4,4
american airlines,sfo,sea,218,on-time,1241,466.83,42,female,medium,emergency,business,1,silver,mobile app,7.3,14.0,88,0,0,middle,6,13,2,12
jetblue,ord,den,158,on-time,1134,320.68,72,female,high,leisure,economy,1,none,mobile app,8.0,8.0,68,0,0,window,8,31,6,3
jetblue,lax,ord,165,on-time,1479,352.61,30,male,low,leisure,economy,1,silver,mobile app,8.5,9.0,12,0,0,middle,2,28,0,8
jetblue,jfk,dfw,89,cancelled,1096,315.38,37,male,medium,business,premium economy,1,none,online,6.2,1.0,48,0,0,middle,5,20,0,1
southwest,den,sfo,261,delayed,1301,449.12,38,male,high,family,economy,0,gold,airport kiosk,9.1,6.0,115,0,0,middle,0,16,3,1
jetblue,jfk,den,145,on-time,1441,219.72,25,male,medium,family,premium economy,2,none,airport kiosk,8.4,26.0,26,0,0,middle,23,5,0,6
jetblue,den,jfk,268,on-time,1286,122.7,29,male,high,emergency,economy,0,none,mobile app,4.9,11.0,112,0,0,middle,17,23,1,5
american airlines,sea,dfw,186,on-time,1212,375.59,39,female,medium,business,economy,2,platinum,online,8.5,13.0,6,0,0,window,21,12,6,11
jetblue,sea,lax,193,on-time,1204,229.09,67,female,low,leisure,premium economy,0,none,online,8.0,8.0,109,0,0,window,16,9,6,2
jetblue,jfk,jfk,29,on-time,703,467.72,22,male,medium,family,premium economy,4,none,airport kiosk,8.5,2.0,64,0,1,window,2,7,2,2
southwest,atl,atl,173,on-time,1071,552.38,42,male,medium,business,business,2,none,desk,5.6,5.0,6,0,1,aisle,12,11,2,10
southwest,dfw,sfo,59,delayed,898,477.94,54,female,low,emergency,economy,1,platinum,airport kiosk,5.2,18.0,18,0,1,window,12,16,3,5
united,dfw,den,77,on-time,1149,229.74,18,male,medium,family,economy,1,none,online,5.2,15.0,102,0,0,aisle,12,18,0,11
united,ord,atl,115,on-time,1188,234.94,41,male,low,leisure,economy,1,gold,online,6.8,12.0,42,0,0,window,10,28,2,6
united,atl,den,261,on-time,1143,429.73,79,female,low,leisure,economy,3,gold,online,9.3,3.0,97,0,0,middle,8,10,1,9
united,sfo,ord,157,on-time,974,199.88,31,male,medium,family,economy,1,none,online,6.1,2.0,41,0,0,window,19,12,4,1
delta,jfk,dfw,233,on-time,1440,361.13,25,male,low,emergency,premium economy,1,none,online,10.0,8.0,83,0,0,window,3,1,5,2
jetblue,sea,lax,180,delayed,1101,359.21,18,female,high,leisure,premium economy,0,none,online,8.0,51.0,6,0,0,middle,19,1,6,10
jetblue,den,atl,216,on-time,803,422.63,44,male,high,family,economy,1,none,mobile app,6.7,5.0,92,0,0,aisle,4,10,3,4
united,dfw,sea,168,on-time,1388,250.22,75,male,medium,emergency,premium economy,0,none,desk,6.1,56.0,81,1,0,aisle,13,17,5,2
united,atl,lax,275,on-time,1242,456.75,24,female,low,business,premium economy,2,gold,mobile app,9.0,1.0,95,0,0,middle,3,13,0,11
american airlines,lax,den,181,on-time,1097,353.16,69,female,high,business,premium economy,0,none,mobile app,7.7,4.0,6,0,0,window,7,12,2,7
southwest,lax,jfk,148,on-time,1452,366.41,76,male,medium,business,economy,1,silver,desk,8.3,22.0,79,0,0,window,18,19,0,2
american airlines,dfw,ord,93,delayed,1698,376.59,56,male,low,business,economy,1,none,online,8.7,2.0,21,0,0,middle,2,1,6,12
southwest,lax,den,147,on-time,1589,234.32,54,male,medium,business,premium economy,3,silver,online,5.6,6.0,99,0,0,window,7,1,3,6
american airlines,sea,ord,98,on-time,1058,295.42,53,female,high,leisure,premium economy,3,none,desk,7.3,9.0,13,0,0,window,13,2,0,10
american airlines,sea,dfw,274,delayed,1483,179.04,29,female,low,family,economy,0,gold,desk,5.2,5.0,58,0,1,aisle,21,30,5,9
southwest,sea,dfw,182,delayed,1298,358.52,62,male,medium,emergency,economy,3,platinum,online,6.4,8.0,51,0,0,middle,5,19,1,12
jetblue,lax,dfw,229,on-time,595,324.11,34,female,high,leisure,economy,0,none,mobile app,7.0,19.0,63,0,0,middle,10,9,5,9
delta,den,atl,205,on-time,1572,382.08,42,male,low,leisure,economy,1,silver,mobile app,7.5,11.0,66,0,0,window,18,14,6,4
delta,dfw,dfw,282,on-time,1074,353.37,64,female,medium,family,economy,0,platinum,online,4.4,7.0,116,0,0,window,20,13,2,11
jetblue,atl,sea,230,on-time,1585,442.67,29,male,low,business,premium economy,0,none,mobile app,6.9,3.0,80,0,0,window,4,11,3,4
jetblue,atl,den,174,on-time,1263,273.51,22,male,low,business,premium economy,0,gold,online,9.0,0.0,51,0,0,middle,15,26,5,8
american airlines,ord,dfw,198,on-time,1022,262.13,58,male,medium,family,premium economy,1,none,desk,6.4,10.0,63,0,0,aisle,20,6,5,5
southwest,ord,den,176,on-time,859,438.25,27,female,medium,emergency,economy,1,silver,mobile app,7.6,8.0,32,0,0,aisle,20,14,4,3
american airlines,atl,ord,173,on-time,950,339.86,27,female,medium,leisure,economy,1,silver,mobile app,6.8,11.0,19,0,0,window,7,6,0,5
southwest,jfk,sea,153,on-time,1061,440.78,59,male,low,business,economy,4,gold,online,6.5,3.0,9,0,1,middle,12,20,2,12
delta,lax,den,167,on-time,1178,273.8,25,female,low,emergency,business,0,gold,online,7.4,24.0,21,0,0,middle,4,25,1,6
american airlines,den,den,201,on-time,1042,538.42,51,female,high,leisure,premium economy,0,platinum,desk,6.5,22.0,64,0,1,middle,4,12,4,4
united,dfw,dfw,193,on-time,1434,316.76,48,male,medium,family,economy,0,gold,desk,7.8,4.0,14,0,0,middle,6,1,6,12
united,jfk,atl,256,on-time,895,285.22,40,male,low,emergency,premium economy,1,none,desk,8.6,7.0,23,0,1,aisle,3,18,0,3
american airlines,ord,lax,227,on-time,1566,353.57,67,male,high,leisure,economy,1,none,desk,7.6,8.0,119,0,0,window,20,23,0,9
delta,atl,dfw,172,on-time,749,451.07,30,male,low,family,economy,2,silver,airport kiosk,5.9,4.0,69,0,0,middle,18,1,4,11
united,sfo,dfw,243,on-time,611,294.39,66,male,low,emergency,economy,2,none,online,7.5,16.0,47,0,0,window,14,30,3,1
southwest,lax,lax,175,delayed,1262,270.98,39,male,medium,business,economy,2,none,airport kiosk,8.2,23.0,27,1,0,window,2,24,4,11
american airlines,jfk,den,145,delayed,1093,409.72,20,male,high,family,economy,1,gold,airport kiosk,4.9,5.0,22,0,0,aisle,13,21,2,6
united,ord,sea,200,on-time,1180,334.44,57,male,medium,business,economy,1,none,online,5.1,0.0,115,0,0,aisle,2,23,4,8
southwest,ord,sfo,160,cancelled,1101,286.77,40,female,medium,emergency,economy,2,platinum,mobile app,4.8,4.0,99,0,1,aisle,10,10,0,6
southwest,dfw,dfw,121,on-time,836,457.72,37,female,low,business,economy,1,gold,mobile app,7.6,1.0,29,0,0,aisle,10,17,6,12
jetblue,dfw,lax,197,on-time,999,327.74,55,female,medium,leisure,premium economy,0,none,mobile app,8.5,32.0,20,0,0,window,22,18,0,3
united,sfo,jfk,249,on-time,1468,347.0,55,male,low,business,economy,2,none,online,6.3,4.0,28,0,0,window,13,1,6,10
delta,ord,sea,250,delayed,1436,258.18,62,male,low,leisure,economy,0,silver,online,4.1,2.0,101,0,0,middle,5,12,6,5
jetblue,atl,atl,254,on-time,1216,412.23,74,male,low,emergency,business,0,none,desk,5.9,7.0,108,0,0,middle,14,4,3,5
southwest,lax,den,111,delayed,921,400.97,36,female,medium,emergency,economy,1,gold,mobile app,7.5,23.0,21,0,0,middle,22,11,2,10
jetblue,lax,lax,158,cancelled,1275,274.51,37,male,medium,family,economy,0,silver,online,8.0,15.0,90,0,0,aisle,22,7,3,11
american airlines,sfo,ord,209,delayed,1142,364.28,56,male,medium,leisure,business,1,silver,mobile app,7.1,5.0,111,0,1,aisle,7,24,0,3
american airlines,den,den,131,on-time,1361,265.69,73,female,low,emergency,economy,1,none,mobile app,7.2,47.0,85,0,0,middle,5,6,3,7
southwest,sea,sea,221,on-time,889,492.83,25,male,low,business,economy,0,silver,airport kiosk,6.0,10.0,38,0,0,aisle,1,15,0,5
american airlines,den,jfk,215,on-time,1439,435.41,73,male,low,emergency,first,3,silver,online,8.3,22.0,101,0,0,window,17,2,4,8
delta,sfo,sfo,194,on-time,877,204.43,64,female,high,leisure,economy,1,none,mobile app,6.5,1.0,12,0,0,middle,7,17,6,9
united,lax,ord,125,delayed,666,261.46,59,male,high,leisure,economy,1,none,mobile app,5.9,28.0,36,0,1,window,1,29,4,9
delta,den,sea,244,on-time,1305,235.2,51,female,high,emergency,first,4,silver,airport kiosk,4.9,1.0,57,0,0,window,17,3,2,4
southwest,dfw,dfw,205,on-time,1827,350.71,42,male,medium,leisure,economy,1,silver,desk,5.5,5.0,89,0,0,window,4,10,6,11
southwest,atl,jfk,161,on-time,1390,195.0,75,male,high,emergency,economy,4,silver,airport kiosk,6.7,1.0,4,0,0,aisle,15,4,4,4
american airlines,lax,ord,104,on-time,901,220.59,30,male,medium,family,economy,2,none,airport kiosk,5.7,4.0,116,0,0,middle,20,22,3,2
american airlines,atl,den,157,delayed,1073,305.67,53,male,medium,leisure,economy,1,none,mobile app,6.6,1.0,104,0,0,window,12,27,5,7
american airlines,den,ord,202,on-time,1303,260.88,47,female,medium,emergency,economy,1,platinum,desk,7.8,15.0,50,0,0,middle,12,27,4,10
united,den,dfw,131,on-time,1592,311.31,74,female,medium,family,economy,1,none,mobile app,9.7,1.0,60,1,0,aisle,23,9,5,9
united,sfo,jfk,105,on-time,1518,342.85,29,female,high,business,premium economy,3,silver,airport kiosk,5.9,10.0,21,0,1,middle,21,12,5,10
southwest,sfo,atl,242,on-time,950,506.77,62,male,medium,family,business,5,platinum,airport kiosk,8.3,3.0,79,0,0,aisle,1,8,4,3
delta,atl,den,133,cancelled,925,329.48,29,male,medium,emergency,economy,2,gold,desk,9.5,7.0,8,0,0,middle,14,14,4,3
jetblue,sea,sea,261,on-time,1094,249.95,63,female,high,business,premium economy,0,none,online,7.6,6.0,55,0,0,aisle,2,26,4,4
jetblue,jfk,sfo,146,on-time,1255,455.03,71,female,medium,business,business,0,silver,airport kiosk,7.2,5.0,66,0,0,middle,2,7,6,7
american airlines,lax,dfw,156,on-time,1107,300.33,54,male,low,emergency,economy,1,gold,desk,7.6,3.0,58,1,0,aisle,10,26,4,5
delta,sfo,atl,145,delayed,979,363.47,67,female,medium,leisure,economy,2,silver,airport kiosk,7.4,0.0,24,1,0,window,3,16,3,11
american airlines,jfk,sea,204,delayed,985,151.12,26,male,high,leisure,economy,1,gold,desk,5.6,9.0,17,0,0,window,12,7,3,12
united,sea,lax,155,on-time,832,344.5,51,male,medium,family,economy,1,none,mobile app,8.2,2.0,27,0,1,aisle,10,28,3,12
american airlines,dfw,lax,237,on-time,1775,384.83,25,male,medium,emergency,economy,0,silver,mobile app,6.8,6.0,67,0,1,aisle,21,26,1,11
united,atl,ord,140,on-time,1306,128.22,79,male,medium,leisure,premium economy,3,silver,mobile app,7.6,6.0,101,0,0,window,5,29,0,4
united,sea,ord,117,on-time,1450,260.06,61,male,medium,family,premium economy,1,none,desk,8.8,3.0,9,0,0,aisle,1,31,0,7
american airlines,dfw,den,252,on-time,1480,546.65,32,male,low,family,economy,1,none,online,6.0,1.0,43,0,0,aisle,11,27,6,10
southwest,lax,sea,208,cancelled,1130,333.91,29,male,medium,leisure,economy,1,none,online,4.8,12.0,98,0,0,aisle,10,5,1,12
american airlines,jfk,sea,264,delayed,1103,177.53,45,male,low,family,economy,2,none,mobile app,8.8,5.0,99,0,0,window,4,22,5,6
united,atl,atl,94,on-time,1395,402.89,45,female,low,leisure,economy,3,none,online,7.1,22.0,117,0,0,middle,17,11,4,4
american airlines,sea,ord,200,on-time,1294,428.48,42,female,low,emergency,business,3,platinum,mobile app,5.7,7.0,7,0,0,middle,15,16,4,2
jetblue,sfo,ord,164,on-time,1125,316.42,62,male,high,emergency,economy,0,silver,online,5.9,0.0,39,0,0,aisle,21,19,2,7
jetblue,sfo,lax,189,on-time,837,473.92,31,female,high,emergency,business,3,none,online,9.0,11.0,86,0,0,aisle,23,3,2,4
jetblue,lax,lax,191,on-time,1288,532.86,29,female,low,business,economy,1,platinum,mobile app,7.5,6.0,104,0,1,window,17,11,3,5
united,jfk,sfo,255,on-time,1044,382.4,43,female,low,family,economy,1,platinum,desk,7.5,1.0,2,0,0,window,15,8,5,7
american airlines,lax,sfo,132,on-time,935,294.25,19,male,medium,leisure,premium economy,2,silver,mobile app,8.5,13.0,78,0,0,aisle,0,26,3,12
delta,ord,sfo,168,on-time,1251,374.44,77,male,high,family,economy,2,none,airport kiosk,6.2,8.0,7,0,1,aisle,18,19,4,7
jetblue,dfw,ord,143,on-time,1496,245.25,57,female,medium,family,economy,2,none,online,6.7,27.0,104,0,0,aisle,10,28,6,1
jetblue,lax,sfo,217,on-time,839,330.76,60,male,high,leisure,premium economy,0,silver,mobile app,7.2,15.0,23,0,0,middle,6,27,4,12
southwest,den,sfo,188,on-time,1352,476.48,76,male,high,leisure,economy,2,none,desk,8.7,12.0,100,0,0,window,15,11,4,4
delta,lax,den,286,on-time,1903,339.92,71,male,low,leisure,economy,0,none,desk,7.1,3.0,119,0,0,window,15,19,5,10
jetblue,ord,dfw,152,on-time,1072,285.5,26,male,high,emergency,business,1,none,airport kiosk,9.1,19.0,118,0,0,window,20,21,6,5
southwest,atl,atl,172,on-time,1369,298.4,51,male,medium,business,business,1,silver,desk,6.4,37.0,22,0,0,window,20,9,5,12
delta,dfw,sea,252,on-time,615,168.01,68,female,medium,leisure,premium economy,1,none,online,8.1,3.0,53,1,0,middle,15,28,2,6
southwest,atl,den,145,delayed,1025,418.9,33,female,high,leisure,premium economy,3,none,mobile app,6.5,18.0,107,0,0,window,0,12,6,5
jetblue,dfw,lax,181,on-time,1249,176.04,37,female,medium,leisure,economy,3,platinum,mobile app,5.5,6.0,45,0,0,aisle,5,4,0,11
united,ord,atl,204,on-time,1568,339.62,54,male,medium,leisure,economy,1,none,online,10.0,4.0,58,0,0,aisle,14,19,4,7
jetblue,lax,ord,319,on-time,1294,388.28,74,female,low,family,economy,0,none,online,5.6,3.0,78,0,0,aisle,13,6,3,6
united,sea,dfw,225,on-time,1136,303.95,60,female,low,emergency,premium economy,1,silver,airport kiosk,6.1,13.0,72,0,1,aisle,9,3,1,10
jetblue,atl,dfw,203,on-time,1780,203.9,36,female,medium,family,economy,3,none,mobile app,4.6,7.0,70,0,1,middle,11,12,6,11
delta,dfw,jfk,181,cancelled,725,272.76,24,female,high,emergency,business,1,gold,airport kiosk,3.1,19.0,27,0,0,aisle,8,26,0,2
american airlines,atl,ord,172,on-time,1488,275.29,72,female,medium,business,business,1,gold,online,8.8,11.0,90,0,0,middle,18,6,3,6
southwest,lax,dfw,283,on-time,1529,296.31,41,male,low,family,economy,1,silver,mobile app,9.3,7.0,63,0,1,middle,2,22,4,9
american airlines,dfw,lax,178,on-time,1387,441.05,31,male,high,family,economy,3,gold,mobile app,4.4,1.0,103,0,0,aisle,11,4,2,12
southwest,jfk,sfo,197,on-time,1491,575.18,43,male,medium,business,economy,1,none,mobile app,7.3,5.0,60,0,0,middle,13,22,3,2
american airlines,atl,sea,160,on-time,1302,286.41,33,female,medium,emergency,economy,1,none,desk,7.6,3.0,68,0,0,middle,0,5,4,7
american airlines,lax,sfo,132,on-time,968,317.33,20,female,low,business,premium economy,1,none,desk,8.2,13.0,56,0,0,aisle,7,13,3,6
southwest,atl,ord,205,on-time,1029,449.3,79,female,low,leisure,economy,2,none,airport kiosk,8.0,0.0,104,0,0,aisle,21,20,5,4
american airlines,ord,jfk,223,delayed,1326,291.85,20,female,high,leisure,economy,1,silver,mobile app,8.2,12.0,70,0,0,window,12,17,0,3
american airlines,ord,lax,169,on-time,777,361.79,77,female,medium,leisure,business,2,gold,airport kiosk,3.5,4.0,112,0,0,aisle,21,15,1,4
united,lax,dfw,167,on-time,1222,377.84,57,male,medium,emergency,premium economy,1,none,online,8.1,1.0,54,0,0,aisle,8,15,2,5
american airlines,sfo,lax,127,on-time,1027,491.89,34,male,low,family,economy,0,gold,airport kiosk,4.7,16.0,35,0,0,aisle,14,30,3,5
american airlines,den,dfw,224,delayed,1126,535.81,51,female,medium,emergency,premium economy,2,platinum,online,6.1,5.0,34,0,0,aisle,9,21,3,9
southwest,ord,den,442,on-time,1470,342.95,55,female,medium,emergency,economy,1,silver,desk,10.0,17.0,89,0,0,middle,11,4,2,9
delta,sea,jfk,38,on-time,907,476.42,21,male,low,family,economy,3,platinum,mobile app,6.7,14.0,80,0,0,window,0,31,4,1
united,den,ord,219,on-time,1572,542.25,40,male,medium,business,economy,0,none,mobile app,7.2,22.0,42,0,0,middle,8,19,5,4
american airlines,sea,ord,228,on-time,812,414.87,75,male,medium,leisure,premium economy,0,none,desk,5.1,1.0,25,0,0,middle,5,1,2,5
delta,sfo,den,154,on-time,1562,376.6,52,male,low,business,premium economy,2,silver,airport kiosk,8.6,0.0,77,0,1,aisle,21,17,6,9
american airlines,lax,dfw,266,delayed,1076,172.37,26,male,low,leisure,economy,2,none,airport kiosk,7.1,3.0,100,0,0,middle,3,28,5,10
delta,dfw,sfo,192,delayed,897,204.79,23,male,medium,emergency,premium economy,1,none,airport kiosk,5.2,2.0,31,0,0,middle,4,15,2,11
southwest,atl,lax,146,on-time,1142,456.89,59,female,medium,business,economy,2,none,airport kiosk,7.5,2.0,41,0,0,middle,20,6,6,8
united,sea,sea,252,on-time,1434,318.63,72,male,medium,leisure,economy,1,gold,mobile app,7.7,1.0,2,0,0,window,3,11,0,3
american airlines,lax,sea,170,on-time,1597,426.62,38,male,medium,leisure,economy,1,none,airport kiosk,5.9,5.0,17,0,1,aisle,18,1,2,11
southwest,lax,jfk,201,on-time,734,281.07,30,female,low,emergency,economy,0,gold,airport kiosk,5.6,8.0,100,0,0,aisle,11,6,3,6
southwest,ord,ord,208,on-time,754,148.59,59,male,medium,family,economy,2,gold,desk,6.6,10.0,41,0,0,middle,10,4,3,5
american airlines,den,ord,171,cancelled,1144,423.02,35,female,medium,emergency,premium economy,2,none,desk,8.1,8.0,93,0,0,middle,12,25,2,10
american airlines,sfo,ord,211,cancelled,1127,316.21,67,male,medium,leisure,business,1,none,mobile app,5.0,7.0,72,0,0,aisle,6,13,2,12
american airlines,sfo,dfw,124,delayed,1497,594.87,78,male,medium,leisure,economy,0,none,mobile app,6.5,2.0,119,0,0,window,22,14,1,1
southwest,lax,lax,270,delayed,1538,332.03,78,male,high,family,premium economy,1,gold,airport kiosk,7.5,4.0,68,0,0,aisle,22,19,4,7
southwest,dfw,sea,224,on-time,966,100.44,74,female,medium,emergency,economy,2,silver,online,8.5,9.0,1,0,1,aisle,17,21,5,9
southwest,jfk,ord,169,delayed,1395,227.81,42,male,high,business,premium economy,1,silver,mobile app,3.4,20.0,19,0,0,aisle,23,2,2,10
united,den,lax,29,on-time,1013,316.0,76,female,low,leisure,economy,3,none,mobile app,9.5,6.0,72,0,1,aisle,17,8,5,7
american airlines,den,sfo,255,on-time,1494,428.84,46,female,medium,emergency,premium economy,4,none,mobile app,6.8,27.0,85,0,0,window,14,14,6,7
delta,ord,den,179,on-time,1351,467.42,63,male,low,emergency,business,1,silver,mobile app,8.6,6.0,93,0,0,middle,0,22,4,11
united,ord,sfo,190,delayed,1198,645.14,47,male,medium,leisure,premium economy,0,silver,airport kiosk,7.9,7.0,15,0,0,window,22,28,0,8
united,atl,atl,151,on-time,1629,391.74,37,male,low,family,premium economy,0,gold,airport kiosk,4.5,1.0,102,0,0,middle,2,26,2,4
delta,jfk,dfw,34,delayed,1682,380.6,60,female,low,emergency,economy,1,none,online,9.1,14.0,83,0,0,aisle,11,12,5,4
delta,lax,sfo,171,delayed,716,491.71,51,male,high,business,economy,1,silver,airport kiosk,9.0,4.0,48,0,0,aisle,15,6,5,4
american airlines,atl,ord,201,on-time,1688,293.74,33,male,medium,family,premium economy,2,none,desk,7.2,6.0,68,0,0,aisle,6,16,4,6
united,sea,den,163,on-time,1063,168.45,79,male,medium,business,business,0,platinum,airport kiosk,7.8,5.0,69,0,0,window,9,7,4,6
american airlines,sfo,jfk,177,cancelled,1191,492.99,33,male,high,emergency,business,0,none,online,8.0,6.0,100,0,1,middle,12,19,6,11
jetblue,atl,ord,185,on-time,878,155.67,72,female,medium,emergency,business,1,none,online,6.6,25.0,106,0,0,window,0,4,0,11
united,ord,dfw,183,on-time,808,486.76,33,female,medium,leisure,business,0,none,desk,7.0,16.0,103,0,0,middle,7,9,1,5
delta,den,lax,181,cancelled,1206,466.06,34,male,low,family,economy,1,silver,desk,6.6,1.0,104,0,0,middle,0,4,3,1
united,jfk,jfk,342,on-time,1227,573.85,79,male,medium,emergency,business,1,gold,mobile app,8.6,15.0,50,0,0,window,1,13,3,6
delta,lax,jfk,116,on-time,2045,330.79,56,male,low,emergency,economy,0,platinum,online,4.2,12.0,34,0,0,aisle,18,15,1,10
southwest,ord,jfk,92,on-time,1537,183.48,76,male,medium,business,economy,1,none,mobile app,6.3,2.0,80,0,0,window,17,25,4,8
